date,open,high,low,close,volume,change,percent_change,vwap,ticker
2024-07-10,499.71,500.604,498.39,499.11,8078117,-0.6,-0.1201,499.37,QQQ
2024-07-09,498.87,500.0,496.24,497.77,25687787,-1.1,-0.2205,498.22,QQQ
2024-07-08,496.53,497.9,495.5,497.34,22109420,0.81,0.1631,496.8175,QQQ
2024-07-05,491.89,496.6,491.59,496.16,28495936,4.27,0.8681,494.06,QQQ
2024-07-03,486.22,491.17,486.22,491.04,18064880,4.82,0.9913,488.6625,QQQ
2024-07-02,480.41,487.04,480.28,486.98,26723559,6.57,1.37,483.6775,QQQ
2024-07-01,480.04,482.49,476.26,481.92,24898336,1.88,0.3916,480.1775,QQQ
2024-06-28,482.41,487.2,478.46,479.11,34881581,-3.3,-0.6841,481.795,QQQ
2024-06-27,480.12,483.1,479.3,481.61,26222135,1.49,0.3103,481.0325,QQQ
2024-06-26,478.55,480.92,478.13,480.37,22737105,1.82,0.3803,479.4925,QQQ
2024-06-25,476.07,479.68,475.12,479.38,29250209,3.31,0.6953,477.5625,QQQ
2024-06-24,478.18,479.93,473.82,473.96,37750969,-4.22,-0.8825,476.4725,QQQ
2024-06-21,481.19,482.54,478.67,480.18,39432913,-1.01,-0.2099,480.645,QQQ
2024-06-20,486.42,486.84,479.62,481.47,33918683,-4.95,-1.02,483.5875,QQQ
2024-06-18,485.01,485.9,483.43,485.21,24438565,0.2,0.0412,484.8875,QQQ
2024-06-17,479.46,486.86,478.14,485.06,37054504,5.6,1.17,482.38,QQQ
2024-06-14,476.52,479.26,476.05,479.19,23372620,2.67,0.5603,477.755,QQQ
2024-06-13,477.72,478.39,474.42,476.72,25859014,-1.0,-0.2093,476.8125,QQQ
2024-06-12,471.99,476.5,471.29,474.15,34532585,2.16,0.4576,473.4825,QQQ
2024-06-11,463.54,468.14,462.03,468.02,22053281,4.48,0.9665,465.4325,QQQ
2024-06-10,461.82,465.19,461.53,464.83,20719771,3.01,0.6518,463.3425,QQQ
2024-06-07,463.0,465.74,461.84,462.96,25829720,-0.04,-0.0086,463.385,QQQ
2024-06-06,464.22,464.54,462.19,463.37,21966820,-0.85,-0.1831,463.58,QQQ
2024-06-05,457.98,463.61,454.41,463.53,33817409,5.55,1.21,459.8825,QQQ
2024-06-04,452.87,455.58,451.13,454.37,23767436,1.5,0.3312,453.4875,QQQ
2024-06-03,454.57,455.58,447.9,453.13,32997467,-1.44,-0.3168,452.795,QQQ
2024-05-31,451.78,452.48,443.06,450.71,55941301,-1.07,-0.2368,449.5075,QQQ
2024-05-30,455.5,455.64,450.21,451.55,30714121,-3.95,-0.8672,453.225,QQQ
2024-05-29,455.48,458.24,455.34,456.44,29739238,0.96,0.2108,456.375,QQQ
2024-05-28,459.18,459.74,456.69,459.68,26216815,0.5,0.1089,458.8225,QQQ
