date,open,high,low,close,volume,change,percent_change,vwap,ticker
2024-07-10,33.3,33.9715,33.09,33.95,510265,0.65,1.952,33.67,UCO
2024-07-09,34.0,34.4,33.39,33.57,882796,-0.43,-1.26,33.84,UCO
2024-07-08,34.31,34.6,34.17,34.27,804607,-0.04,-0.1166,34.3375,UCO
2024-07-05,35.3,35.71,34.72,34.84,972348,-0.46,-1.3,35.1425,UCO
2024-07-03,34.68,35.13,34.38,34.9,842641,0.22,0.6344,34.7725,UCO
2024-07-02,35.05,35.09,34.49,34.71,895954,-0.34,-0.97,34.835,UCO
2024-07-01,34.03,34.9,33.73,34.77,1155380,0.74,2.17,34.3575,UCO
2024-06-28,33.94,33.96,33.25,33.5,802177,-0.44,-1.3,33.6625,UCO
2024-06-27,33.8,33.95,33.34,33.77,863683,-0.03,-0.0888,33.715,UCO
2024-06-26,33.31,33.77,32.83,33.15,1092803,-0.16,-0.4803,33.265,UCO
2024-06-25,33.57,33.83,33.07,33.18,677514,-0.39,-1.16,33.4125,UCO
2024-06-24,32.92,33.73,32.92,33.7,967113,0.78,2.37,33.3175,UCO
2024-06-21,33.36,33.66,32.68,32.92,1015063,-0.44,-1.32,33.155,UCO
2024-06-20,33.49,33.64,33.18,33.32,863186,-0.17,-0.5076,33.4075,UCO
2024-06-18,32.31,33.12,32.26,33.02,1183350,0.71,2.2,32.6775,UCO
2024-06-17,31.68,32.37,31.63,32.27,1117613,0.59,1.86,31.9875,UCO
2024-06-14,31.99,32.1,31.29,31.29,1788398,-0.7,-2.19,31.6675,UCO
2024-06-13,31.76,31.92,31.32,31.38,1270203,-0.38,-1.2,31.595,UCO
2024-06-12,32.01,32.11,31.17,31.37,2249111,-0.64,-2.0,31.665,UCO
2024-06-11,30.93,31.41,30.62,31.07,1062498,0.14,0.4526,31.0075,UCO
2024-06-10,29.88,30.96,29.7,30.93,2196315,1.05,3.51,30.3675,UCO
2024-06-07,29.55,29.82,29.24,29.33,1228121,-0.22,-0.7445,29.485,UCO
2024-06-06,28.64,29.52,28.52,29.39,1748685,0.75,2.62,29.0175,UCO
2024-06-05,28.22,28.46,27.8,28.42,2385665,0.2,0.7087,28.225,UCO
2024-06-04,28.12,28.35,27.73,28.07,2452050,-0.05,-0.1778,28.0675,UCO
2024-06-03,30.45,30.45,28.77,28.84,4333556,-1.61,-5.29,29.6275,UCO
2024-05-31,31.43,31.58,30.48,30.91,1873578,-0.52,-1.65,31.1,UCO
2024-05-30,31.65,32.18,31.1,31.26,1764346,-0.39,-1.23,31.5475,UCO
2024-05-29,32.7,33.05,31.97,31.98,1245704,-0.72,-2.2,32.425,UCO
2024-05-28,32.05,32.75,31.96,32.7,1595222,0.65,2.03,32.365,UCO
2024-05-24,30.59,31.08,30.5,30.93,1119179,0.34,1.11,30.775,UCO
2024-05-23,31.5,31.65,30.09,30.35,2455871,-1.15,-3.65,30.8975,UCO
2024-05-22,31.15,31.5,30.68,30.75,2204729,-0.4,-1.28,31.02,UCO
2024-05-21,31.75,32.17,31.04,31.82,2096496,0.07,0.2205,31.695,UCO
2024-05-20,32.0,32.71,31.81,32.24,1229740,0.24,0.75,32.19,UCO
2024-05-17,31.8,32.33,31.7,32.25,1020342,0.45,1.42,32.02,UCO
2024-05-16,31.79,31.89,31.39,31.71,1453142,-0.08,-0.2516,31.695,UCO
2024-05-15,30.53,31.32,30.05,31.32,2906799,0.79,2.59,30.805,UCO
2024-05-14,30.91,31.3,30.65,30.94,1520843,0.03,0.0971,30.95,UCO
2024-05-13,31.32,31.75,31.19,31.55,1270263,0.23,0.7344,31.4525,UCO
2024-05-10,31.92,31.97,30.95,31.04,1500839,-0.88,-2.76,31.47,UCO
2024-05-09,31.44,31.84,31.33,31.81,1065945,0.37,1.18,31.605,UCO
2024-05-08,30.79,31.61,30.62,31.52,1912983,0.73,2.37,31.135,UCO
2024-05-07,31.21,31.79,30.8,31.33,2359232,0.12,0.3845,31.2825,UCO
2024-05-06,31.29,31.62,30.9,31.42,3170977,0.13,0.4155,31.3075,UCO
2024-05-03,31.34,31.48,30.92,31.02,1613054,-0.32,-1.02,31.19,UCO
2024-05-02,31.27,31.61,30.84,31.26,1574949,-0.01,-0.032,31.245,UCO
2024-05-01,32.29,32.87,30.96,31.11,2366551,-1.18,-3.65,31.8075,UCO
2024-04-30,33.43,33.54,32.47,32.92,1726744,-0.51,-1.53,33.09,UCO
2024-04-29,34.23,34.42,33.59,33.67,1193574,-0.56,-1.64,33.9775,UCO
2024-04-26,34.63,34.67,33.97,34.29,992398,-0.34,-0.9818,34.39,UCO
2024-04-25,33.51,34.21,33.02,34.19,1328613,0.68,2.03,33.7325,UCO
2024-04-24,33.65,33.99,33.3,33.73,1483630,0.08,0.2377,33.6675,UCO
2024-04-23,32.59,33.83,32.53,33.77,1228239,1.18,3.62,33.18,UCO
2024-04-22,32.32,33.07,32.11,33.06,842740,0.74,2.29,32.64,UCO
2024-04-19,33.13,33.64,33.05,33.07,1396926,-0.06,-0.1811,33.2225,UCO
2024-04-18,33.6,33.82,32.99,33.25,1176159,-0.35,-1.04,33.415,UCO
2024-04-17,34.59,35.05,33.35,33.53,2789435,-1.06,-3.06,34.13,UCO
2024-04-16,35.26,35.53,34.94,35.28,1653624,0.02,0.0567,35.2525,UCO
2024-04-15,34.86,35.41,34.23,35.38,2817551,0.52,1.49,34.97,UCO
2024-04-12,36.21,36.51,35.04,35.26,2692397,-0.95,-2.62,35.755,UCO
2024-04-11,35.16,35.21,34.6,35.16,969115,0.0,0.0,35.0325,UCO
