date,open,high,low,close,volume,change,percent_change,vwap,ticker
2024-07-10,10.18,10.23,10.1,10.126,622294,-0.054,-0.5305,10.15,VIXY
2024-07-09,10.16,10.27,10.13,10.2,2432667,0.04,0.3937,10.19,VIXY
2024-07-08,10.25,10.26,10.12,10.2,2414843,-0.05,-0.4878,10.2075,VIXY
2024-07-05,10.3,10.45,10.28,10.37,2576962,0.07,0.6796,10.35,VIXY
2024-07-03,10.29,10.37,10.23,10.34,1848482,0.05,0.4859,10.3075,VIXY
2024-07-02,10.48,10.48,10.25,10.29,1932605,-0.19,-1.81,10.375,VIXY
2024-07-01,10.72,10.76,10.41,10.42,2149942,-0.305,-2.8,10.5775,VIXY
2024-06-28,10.72,10.86,10.63,10.85,2666731,0.13,1.21,10.765,VIXY
2024-06-27,10.76,10.8,10.68,10.68,1824207,-0.08,-0.7435,10.73,VIXY
2024-06-26,10.92,10.97,10.76,10.77,2947060,-0.15,-1.37,10.855,VIXY
2024-06-25,11.1,11.17,10.86,10.88,1852605,-0.22,-1.98,11.0025,VIXY
2024-06-24,11.24,11.28,10.99,11.13,2987173,-0.11,-0.9786,11.16,VIXY
2024-06-21,11.48,11.61,11.09,11.19,3499356,-0.285,-2.53,11.3425,VIXY
2024-06-20,11.01,11.47,11.0,11.39,5337162,0.38,3.45,11.2175,VIXY
2024-06-18,10.97,11.14,10.92,11.0,3307383,0.03,0.2735,11.0075,VIXY
2024-06-17,11.16,11.27,10.95,11.08,2697660,-0.08,-0.7168,11.115,VIXY
2024-06-14,11.04,11.35,10.98,11.16,6259280,0.12,1.09,11.1325,VIXY
2024-06-13,10.8,11.1,10.73,10.8,2988159,0.0,0.0,10.8575,VIXY
2024-06-12,10.79,10.9,10.72,10.8,5149639,0.01,0.0927,10.8025,VIXY
2024-06-11,11.16,11.32,10.99,11.04,3073801,-0.12,-1.08,11.1275,VIXY
2024-06-10,11.2,11.26,10.98,11.05,3536650,-0.15,-1.34,11.1225,VIXY
2024-06-07,11.14,11.2,10.95,11.02,2502331,-0.12,-1.08,11.0775,VIXY
2024-06-06,11.16,11.29,11.1,11.13,3427339,-0.03,-0.2688,11.17,VIXY
2024-06-05,11.3,11.54,11.18,11.21,2643665,-0.09,-0.7965,11.3075,VIXY
2024-06-04,11.55,11.77,11.39,11.44,3244222,-0.11,-0.9524,11.5375,VIXY
