date,open,high,low,close,volume,change,percent_change,vwap,ticker
2024-07-10,511.98,512.5744,511.69,512.5532,1055231,0.5732,0.112,512.27,VOO
2024-07-09,511.21,512.01,510.54,510.89,3145006,-0.32,-0.0626,511.1625,VOO
2024-07-08,510.5,511.21,509.32,510.33,3143379,-0.17,-0.0333,510.34,VOO
2024-07-05,507.13,510.1,506.49,509.84,3156922,2.71,0.5344,508.39,VOO
2024-07-03,504.22,507.14,504.22,506.81,2131086,2.59,0.5137,505.5975,VOO
2024-07-02,499.69,504.61,499.61,504.53,4210083,4.84,0.9686,502.11,VOO
2024-07-01,501.49,501.68,498.6,501.28,4368526,-0.21,-0.0419,500.7625,VOO
2024-06-28,502.97,505.73,499.01,500.13,5598571,-2.84,-0.5646,501.96,VOO
2024-06-27,503.0,504.48,502.32,503.85,3619655,0.85,0.169,503.4125,VOO
2024-06-26,501.47,503.77,500.89,503.07,3202700,1.6,0.3191,502.3,VOO
2024-06-25,501.71,502.83,500.32,502.51,6336724,0.8,0.1594,501.8425,VOO
2024-06-24,502.03,504.44,500.43,500.43,7022844,-1.6,-0.3187,501.8325,VOO
2024-06-21,502.1,503.22,500.85,501.78,4347838,-0.32,-0.0637,501.9875,VOO
2024-06-20,505.14,505.74,501.19,502.88,4810867,-2.26,-0.4474,503.7375,VOO
2024-06-18,503.05,504.36,502.63,504.28,3431665,1.23,0.2445,503.58,VOO
2024-06-17,498.48,504.18,497.91,502.94,4620642,4.46,0.8947,500.8775,VOO
2024-06-14,497.26,499.04,496.29,498.98,5812046,1.72,0.3459,497.8925,VOO
2024-06-13,499.3,499.45,496.06,498.58,8808879,-0.72,-0.1442,498.3475,VOO
2024-06-12,497.93,500.15,496.71,497.64,3698787,-0.29,-0.0582,498.1075,VOO
2024-06-11,490.99,493.66,489.11,493.53,4028423,2.54,0.5173,491.8225,VOO
2024-06-10,490.17,492.69,489.56,492.41,3465222,2.24,0.457,491.2075,VOO
2024-06-07,490.55,493.53,489.54,490.8,3063587,0.25,0.051,491.105,VOO
2024-06-06,491.84,492.18,489.64,491.44,21343964,-0.4,-0.0813,491.275,VOO
2024-06-05,487.87,491.55,486.06,491.55,3026146,3.68,0.7543,489.2575,VOO
2024-06-04,484.0,486.41,482.56,485.74,2560269,1.74,0.3595,484.6775,VOO
2024-06-03,486.3,486.41,480.4,485.15,4211256,-1.15,-0.2365,484.565,VOO
2024-05-31,481.24,484.91,476.48,484.62,5334012,3.38,0.7024,481.8125,VOO
2024-05-30,482.12,482.75,479.2,480.44,3393589,-1.68,-0.3485,481.1275,VOO
2024-05-29,483.19,484.68,482.96,483.69,5604961,0.5,0.1035,483.63,VOO
2024-05-28,487.4,487.65,484.53,487.12,4034716,-0.28,-0.0574,486.675,VOO
2024-05-24,485.18,487.4,484.33,486.73,2555241,1.55,0.3195,485.91,VOO
2024-05-23,489.91,489.99,482.29,483.44,3811307,-6.47,-1.32,486.4075,VOO
2024-05-22,487.79,488.43,484.94,487.06,3250581,-0.73,-0.1496,487.055,VOO
2024-05-21,486.53,488.58,486.35,488.48,2453576,1.95,0.4008,487.485,VOO
2024-05-20,486.78,488.61,486.45,487.17,2599585,0.39,0.0801,487.2525,VOO
2024-05-17,486.09,486.73,484.7,486.69,3274035,0.6,0.1234,486.0525,VOO
2024-05-16,487.05,488.57,485.83,485.97,3347381,-1.08,-0.2217,486.855,VOO
2024-05-15,483.34,487.23,482.74,486.9,4399485,3.56,0.7365,485.0525,VOO
2024-05-14,478.98,481.47,478.48,481.04,3257724,2.06,0.4301,479.9925,VOO
2024-05-13,480.35,480.42,477.73,478.77,3108442,-1.58,-0.3289,479.3175,VOO
2024-05-10,479.69,480.39,477.59,478.74,3347159,-0.95,-0.198,479.1025,VOO
2024-05-09,475.59,478.15,474.94,478.15,3486049,2.56,0.5383,476.7075,VOO
2024-05-08,473.59,475.86,473.5,475.42,3214878,1.83,0.3864,474.5925,VOO
2024-05-07,475.7,476.64,474.71,475.4,3451302,-0.3,-0.0631,475.6125,VOO
2024-05-06,472.22,474.81,471.82,474.72,4782542,2.5,0.5294,473.3925,VOO
2024-05-03,469.76,471.0,467.44,469.98,4586859,0.22,0.0468,469.545,VOO
2024-05-02,463.36,464.95,459.16,464.22,3972424,0.86,0.1856,462.9225,VOO
2024-05-01,460.77,467.07,459.44,459.93,6115377,-0.84,-0.1823,461.8025,VOO
2024-04-30,467.42,468.34,461.36,461.43,4364836,-5.99,-1.28,464.6375,VOO
2024-04-29,468.84,469.42,466.21,468.84,3253205,0.0,0.0,468.3275,VOO
2024-04-26,465.33,468.63,464.81,467.21,4907113,1.88,0.404,466.495,VOO
2024-04-25,458.77,463.46,457.26,462.58,4876228,3.81,0.8305,460.5175,VOO
2024-04-24,465.57,466.31,462.44,464.5,7687837,-1.07,-0.2298,464.705,VOO
2024-04-23,461.18,465.13,460.67,464.84,4257400,3.66,0.7936,462.955,VOO
2024-04-22,457.55,461.73,455.35,459.05,5818088,1.5,0.3278,458.42,VOO
2024-04-19,458.99,459.94,453.9,455.1,9787454,-3.89,-0.8475,456.9825,VOO
2024-04-18,461.36,463.3,458.21,458.94,5637286,-2.42,-0.5245,460.4525,VOO
2024-04-17,465.11,465.24,458.73,459.99,7156229,-5.12,-1.1,462.2675,VOO
2024-04-16,464.05,465.51,461.59,462.78,6761419,-1.27,-0.2737,463.4825,VOO
2024-04-15,473.47,473.59,462.85,463.61,9530044,-9.86,-2.08,468.38,VOO
2024-04-12,472.77,474.05,467.91,469.57,6959723,-3.2,-0.6769,471.075,VOO
2024-04-11,473.98,477.43,470.67,476.06,5109901,2.08,0.4388,474.535,VOO
2024-04-10,471.91,474.39,470.67,472.65,6933388,0.74,0.1568,472.405,VOO
2024-04-09,478.38,478.6,472.74,477.27,5254191,-1.11,-0.232,476.7475,VOO
2024-04-08,477.15,478.07,475.97,476.68,4736778,-0.47,-0.0985,476.9675,VOO
2024-04-05,472.85,478.33,472.42,476.49,5588160,3.64,0.7698,475.0225,VOO
2024-04-04,481.2,481.48,471.27,471.48,6871190,-9.72,-2.02,476.3575,VOO
2024-04-03,475.84,478.8,475.79,477.36,6224812,1.52,0.3194,476.9475,VOO
2024-04-02,476.33,476.99,474.71,476.93,4817822,0.6,0.126,476.24,VOO
2024-04-01,481.44,481.96,478.83,480.07,5733960,-1.37,-0.2846,480.575,VOO
2024-03-28,480.87,482.16,480.5,480.7,4065018,-0.17,-0.0354,481.0575,VOO
2024-03-27,479.51,480.87,477.45,480.76,4951429,1.25,0.2607,479.6475,VOO
2024-03-26,479.06,479.37,476.43,476.6,8073502,-2.46,-0.5135,477.865,VOO
2024-03-25,477.73,478.79,477.55,477.94,6081277,0.21,0.044,478.0025,VOO
2024-03-22,479.87,480.32,478.82,479.18,5881503,-0.69,-0.1438,479.5475,VOO
2024-03-21,482.62,483.24,481.21,481.35,5044680,-1.27,-0.2632,482.105,VOO
2024-03-20,475.54,480.02,474.93,479.75,6179356,4.21,0.8853,477.56,VOO
2024-03-19,472.2,475.74,471.29,475.6,4550248,3.4,0.72,473.7075,VOO
2024-03-18,473.95,475.28,472.5,472.95,3939105,-1.0,-0.211,473.67,VOO
2024-03-15,470.41,471.78,468.72,470.01,6807087,-0.4,-0.085,470.23,VOO
2024-03-14,475.16,475.33,470.45,473.27,5152980,-1.89,-0.3978,473.5525,VOO
2024-03-13,475.31,475.47,472.9,474.31,3544526,-1.0,-0.2104,474.4975,VOO
2024-03-12,471.92,475.55,469.57,475.03,4811036,3.11,0.659,473.0175,VOO
2024-03-11,469.2,470.46,467.39,470.0,5323866,0.8,0.1705,469.2625,VOO
2024-03-08,473.77,476.3,469.82,470.39,6285625,-3.38,-0.7134,472.57,VOO
2024-03-07,471.63,474.19,470.78,473.26,7149802,1.63,0.3456,472.465,VOO
2024-03-06,469.25,470.66,467.32,468.62,5325050,-0.63,-0.1343,468.9625,VOO
2024-03-05,468.95,469.38,464.06,466.15,4616503,-2.8,-0.5971,467.135,VOO
2024-03-04,470.61,472.6,470.6,470.87,3970242,0.26,0.0552,471.17,VOO
2024-03-01,467.83,471.77,467.43,471.43,4839421,3.6,0.7695,469.615,VOO
2024-02-29,466.97,468.49,464.47,466.93,7332921,-0.04,-0.0086,466.715,VOO
2024-02-28,464.49,465.83,464.11,465.21,2800602,0.72,0.155,464.91,VOO
2024-02-27,465.71,466.12,463.91,465.93,3586943,0.22,0.0472,465.4175,VOO
2024-02-26,467.19,467.59,464.94,465.07,3450804,-2.12,-0.4538,466.1975,VOO
2024-02-23,468.09,468.87,466.09,466.78,4050621,-1.31,-0.2799,467.4575,VOO
2024-02-22,463.22,467.33,462.32,466.57,4328536,3.35,0.7232,464.86,VOO
2024-02-21,455.32,457.12,453.6,456.97,4223078,1.65,0.3624,455.7525,VOO
2024-02-20,457.44,458.06,454.43,456.51,5306784,-0.93,-0.2033,456.61,VOO
2024-02-16,461.08,462.15,458.4,459.03,5527893,-2.05,-0.4446,460.165,VOO
2024-02-15,458.9,461.54,458.43,461.39,5695711,2.49,0.5426,460.065,VOO
2024-02-14,456.58,458.67,454.4,458.29,5624009,1.72,0.3745,456.985,VOO
2024-02-13,454.48,455.7,451.0,453.97,8152242,-0.51,-0.1122,453.7875,VOO
2024-02-12,460.61,462.74,459.75,460.46,4564233,-0.15,-0.0326,460.89,VOO
2024-02-09,458.54,461.03,458.17,460.67,4002594,2.13,0.4645,459.6025,VOO
2024-02-08,457.81,458.33,457.03,458.07,4184592,0.26,0.0568,457.81,VOO
2024-02-07,456.15,458.18,455.27,457.76,6763415,1.61,0.353,456.84,VOO
2024-02-06,453.58,454.29,452.21,454.03,4383601,0.45,0.0992,453.5275,VOO
2024-02-05,453.73,454.15,450.54,452.62,7101857,-1.11,-0.2446,452.76,VOO
2024-02-02,450.01,455.88,449.69,454.28,6253482,4.27,0.9489,452.465,VOO
2024-02-01,445.35,449.66,444.65,449.66,6138360,4.31,0.9678,447.33,VOO
2024-01-31,449.04,449.47,443.75,443.82,7108043,-5.22,-1.16,446.52,VOO
2024-01-30,450.84,451.81,450.44,451.17,3409953,0.33,0.0732,451.065,VOO
2024-01-29,448.23,451.61,447.71,451.49,4543252,3.26,0.7273,449.76,VOO
2024-01-26,448.1,449.51,447.16,448.23,6404023,0.13,0.029,448.25,VOO
2024-01-25,448.14,448.76,446.11,448.5,4167055,0.36,0.0803,447.8775,VOO
2024-01-24,448.32,449.19,445.75,445.99,4568204,-2.33,-0.5197,447.3125,VOO
2024-01-23,444.83,445.82,443.78,445.62,3251586,0.79,0.1776,445.0125,VOO
2024-01-22,444.77,445.92,443.68,444.3,5870412,-0.47,-0.1057,444.6675,VOO
2024-01-19,439.0,443.61,438.31,443.29,4836802,4.29,0.9772,441.0525,VOO
2024-01-18,435.58,438.39,434.16,437.93,4331285,2.35,0.5395,436.515,VOO
2024-01-17,433.6,434.48,431.81,434.07,6044611,0.47,0.1084,433.49,VOO
2024-01-16,436.79,437.98,434.74,436.5,5730839,-0.29,-0.0664,436.5025,VOO
2024-01-12,439.11,439.8,436.73,437.99,5182669,-1.12,-0.2551,438.4075,VOO
2024-01-11,438.94,439.36,434.0,437.79,4796587,-1.15,-0.262,437.5225,VOO
2024-01-10,435.77,438.74,435.48,437.94,4278841,2.17,0.498,436.9825,VOO
2024-01-09,433.62,436.43,433.16,435.07,7939567,1.45,0.3344,434.57,VOO
2024-01-08,430.45,436.27,430.37,436.13,7222362,5.68,1.32,433.305,VOO
2024-01-05,429.59,432.3,428.64,429.98,5724608,0.39,0.0908,430.1275,VOO
2024-01-04,430.33,432.78,429.21,429.43,3945259,-0.9,-0.2091,430.4375,VOO
2024-01-03,432.32,433.0,430.25,430.79,4805049,-1.53,-0.3539,431.59,VOO
2024-01-02,433.91,435.27,432.36,434.01,9076041,0.1,0.023,433.8875,VOO
2023-12-29,437.87,438.34,434.94,436.8,4376885,-1.07,-0.2444,436.9875,VOO
2023-12-28,438.25,438.84,437.66,437.97,4703655,-0.28,-0.0639,438.18,VOO
2023-12-27,436.9,438.02,436.42,437.9,4271009,1.0,0.2289,437.31,VOO
2023-12-26,435.67,437.92,435.58,437.1,3835837,1.43,0.3282,436.5675,VOO
2023-12-22,435.46,436.84,433.48,435.29,4037829,-0.17,-0.039,435.2675,VOO
2023-12-21,433.13,434.64,430.86,434.28,4621606,1.15,0.2655,433.2275,VOO
2023-12-20,435.51,437.31,429.9,430.09,5783234,-5.42,-1.24,433.2025,VOO
2023-12-19,436.04,438.22,435.95,438.19,4061508,2.15,0.4931,437.1,VOO
2023-12-18,434.64,436.4,434.45,435.54,4280475,0.9,0.2071,435.2575,VOO
2023-12-15,433.19,434.25,432.24,433.09,5326041,-0.1,-0.0231,433.1925,VOO
2023-12-14,434.22,435.36,431.24,433.75,8349143,-0.47,-0.1082,433.6425,VOO
2023-12-13,426.88,432.61,426.51,432.48,8659116,5.6,1.31,429.62,VOO
2023-12-12,424.22,426.67,423.27,426.67,5982557,2.45,0.5775,425.2075,VOO
2023-12-11,422.41,424.71,422.22,424.56,5247086,2.15,0.509,423.475,VOO
2023-12-08,420.37,423.37,420.15,422.92,5125278,2.55,0.6066,421.7025,VOO
2023-12-07,419.81,421.67,419.28,421.13,3248251,1.32,0.3144,420.4725,VOO
2023-12-06,421.61,421.67,417.46,417.86,4201801,-3.75,-0.8894,419.65,VOO
2023-12-05,418.34,420.47,418.0,419.61,3419283,1.27,0.3036,419.105,VOO
2023-12-04,418.65,419.87,417.5,419.74,5806079,1.09,0.2604,418.94,VOO
2023-12-01,418.83,422.37,418.25,421.86,4973625,3.03,0.7234,420.3275,VOO
2023-11-30,418.54,419.7,416.57,419.4,4405690,0.86,0.2055,418.5525,VOO
2023-11-29,420.06,421.12,417.37,417.78,4092618,-2.28,-0.5428,419.0825,VOO
2023-11-28,417.25,419.25,416.71,418.05,3382442,0.8,0.1917,417.815,VOO
2023-11-27,417.79,418.53,417.23,417.64,3632552,-0.15,-0.0359,417.7975,VOO
2023-11-24,418.19,418.49,417.84,418.37,1351272,0.18,0.043,418.2225,VOO
2023-11-22,418.07,419.31,417.06,418.14,3694064,0.07,0.0167,418.145,VOO
2023-11-21,416.4,416.84,415.3,416.34,5248187,-0.06,-0.0144,416.22,VOO
2023-11-20,413.99,418.2,413.98,417.43,3524412,3.44,0.8309,415.9,VOO
2023-11-17,413.94,414.79,412.87,414.31,4700139,0.37,0.0894,413.9775,VOO
2023-11-16,412.74,413.95,411.75,413.7,3798889,0.96,0.2326,413.035,VOO
2023-11-15,413.54,414.72,412.37,413.12,4414807,-0.42,-0.1016,413.4375,VOO
2023-11-14,410.04,413.51,409.89,412.22,6973115,2.18,0.5317,411.415,VOO
2023-11-13,403.59,405.49,402.82,404.45,2872941,0.86,0.2131,404.0875,VOO
2023-11-10,400.59,405.11,399.14,404.86,3994439,4.27,1.07,402.425,VOO
2023-11-09,402.81,402.88,398.21,398.64,4145615,-4.17,-1.04,400.635,VOO
2023-11-08,401.99,402.5,399.56,401.67,3731858,-0.32,-0.0796,401.43,VOO
2023-11-07,400.26,402.04,399.23,401.34,3358578,1.08,0.2698,400.7175,VOO
2023-11-06,400.12,400.73,398.46,400.21,4007105,0.09,0.0225,399.88,VOO
2023-11-03,397.92,400.85,397.84,399.44,5981435,1.52,0.382,399.0125,VOO
2023-11-02,391.93,395.91,391.92,395.78,4752164,3.85,0.9823,393.885,VOO
