date,open,high,low,close,volume,change,percent_change,vwap,ticker
2024-07-10,235.89,236.03,234.6,235.73,1702889,-0.16,-0.0678,235.45,XLK
2024-07-09,235.67,236.23,232.94,234.28,4339296,-1.38,-0.5898,234.78,XLK
2024-07-08,233.63,235.15,233.23,234.47,3835519,0.84,0.3595,234.12,XLK
2024-07-05,232.43,233.91,231.47,232.88,3335919,0.45,0.1936,232.6725,XLK
2024-07-03,228.75,232.28,228.56,232.17,3124564,3.42,1.5,230.44,XLK
2024-07-02,225.96,229.1,225.96,229.08,3538260,3.12,1.38,227.525,XLK
2024-07-01,226.57,228.32,223.28,227.94,4640834,1.37,0.6047,226.5275,XLK
2024-06-28,227.14,230.39,225.92,226.23,6244102,-0.91,-0.4006,227.42,XLK
2024-06-27,225.8,227.47,225.53,226.35,3961767,0.55,0.2436,226.2875,XLK
2024-06-26,226.16,227.31,224.48,226.24,4729798,0.08,0.0354,226.0475,XLK
2024-06-25,224.05,226.62,222.79,226.5,4564541,2.45,1.09,224.99,XLK
2024-06-24,225.64,226.66,222.36,222.42,6874280,-3.22,-1.43,224.27,XLK
2024-06-21,228.86,229.76,227.37,228.41,6780393,-0.45,-0.1966,228.6,XLK
2024-06-20,232.45,232.59,228.04,228.81,6621463,-3.64,-1.57,230.4725,XLK
2024-06-18,231.35,232.17,230.49,231.41,4338861,0.06,0.0259,231.355,XLK
2024-06-17,228.23,231.93,227.45,231.12,5820830,2.89,1.27,229.6825,XLK
2024-06-14,226.5,227.8,226.35,227.67,3932277,1.17,0.5166,227.08,XLK
2024-06-13,227.13,227.76,225.44,226.82,6346797,-0.31,-0.1365,226.7875,XLK
2024-06-12,222.36,227.31,221.95,225.04,8910628,2.69,1.21,224.165,XLK
2024-06-11,215.6,220.23,215.5,220.17,6359602,4.57,2.12,217.875,XLK
2024-06-10,214.87,216.73,214.73,216.15,3367696,1.28,0.5957,215.62,XLK
2024-06-07,215.33,216.52,214.54,215.6,3199312,0.27,0.1254,215.4975,XLK
2024-06-06,215.94,216.09,214.53,215.1,3528836,-0.84,-0.389,215.415,XLK
2024-06-05,212.8,215.82,212.46,215.82,4394432,3.02,1.42,214.225,XLK
2024-06-04,210.58,211.47,209.5,211.13,3202665,0.55,0.2612,210.67,XLK
2024-06-03,211.77,211.96,208.17,210.69,4814031,-1.08,-0.51,210.6475,XLK
2024-05-31,210.45,210.49,205.53,210.16,6040509,-0.29,-0.1378,209.1575,XLK
2024-05-30,212.34,212.66,209.18,209.83,5229852,-2.51,-1.18,211.0025,XLK
2024-05-29,213.82,215.76,213.82,214.73,4284538,0.91,0.4256,214.5325,XLK
2024-05-28,216.41,216.58,214.75,216.1,4393214,-0.31,-0.1432,215.96,XLK
2024-05-24,213.93,215.65,213.22,215.19,2953206,1.26,0.589,214.4975,XLK
2024-05-23,217.6,217.62,212.71,213.39,4700216,-4.21,-1.93,215.33,XLK
2024-05-22,215.27,215.93,213.87,215.14,5891457,-0.13,-0.0604,215.0525,XLK
2024-05-21,213.49,215.01,213.11,214.66,3070241,1.17,0.548,214.0675,XLK
2024-05-20,212.03,214.71,211.84,214.31,3138634,2.28,1.08,213.2225,XLK
2024-05-17,212.78,212.91,210.66,211.82,3808017,-0.96,-0.4512,212.0425,XLK
